Episode,Avg Reward,Total Tasks,Episode Time,WalkToWrongShelf(-0),PickRequested(+0.1),PickUnrequired(-0.05),ReturnAfterDelivery(+0.5),DeliverToGoal(+4.0),DropWrong(-0.1),ActorLoss,CriticLoss,Entropy
1,-0.5750000000000001,0,0.7345211505889893,0,1,46,0,0,1,-0.019739670144325053,0.004315826274412449,1.5941482451226974
2,-0.4625,0,0.708284854888916,0,3,37,0,0,3,-0.01945378153619391,0.0052530389190245394,1.5946327492042824
3,0.4,0,0.7116477489471436,0,4,28,0,0,3,0.010316421398548062,0.007029314322250476,1.5952410399913788
4,0.12500000000000017,0,0.6598176956176758,0,8,36,0,0,6,-0.010904865710202744,0.004684338611059818,1.6007136658385948
5,-0.38749999999999996,0,0.7078220844268799,0,0,31,0,0,0,-0.02396448765432945,0.003007897277328461,1.5994400393079828
6,-0.275,0,0.6693751811981201,0,3,22,0,0,3,-0.03403683645754225,0.0038855617512428215,1.5943161889358803
7,-0.6375000000000002,0,0.6851398944854736,0,2,51,0,0,2,-0.014680893350116634,0.0014407829528270094,1.6015913056002724
8,-0.17749999999999994,0,0.7279279232025146,0,4,29,0,0,3,-0.017319803936751907,0.0019529040893909186,1.5945946684590093
9,-0.3625000000000001,0,0.6573989391326904,0,12,29,0,0,12,-0.026008643123700662,0.002654791819161062,1.596822549899419
10,-0.2875,0,0.7070717811584473,0,12,25,0,0,11,-0.0366714357363957,0.0026081904889374893,1.5982702882201583
11,-0.04000000000000001,0,0.6762113571166992,0,3,19,0,0,2,-0.011861855474611122,0.0010449717858962673,1.5955468173380252
12,-0.5750000000000001,0,0.6556961536407471,0,5,48,0,0,4,-0.014630294836091774,0.0009819137013169334,1.6008322448642167
13,0.62,0,0.7310378551483154,0,7,35,0,1,6,-0.020018221715603163,0.0032697947060158247,1.5986541443400912
14,2.1900000000000004,0,0.6519443988800049,0,11,31,1,2,9,-0.027355167230039282,0.002132550789777481,1.5981093126314658
15,-0.175,0,0.6491191387176514,0,10,14,0,0,10,-0.014898474949101606,0.0020070610341538313,1.6001456898671609
16,-0.027500000000000004,0,0.722604513168335,0,9,13,0,0,8,-0.019847906772392215,0.0022777842749517577,1.59512632533356
17,-0.45000000000000007,0,0.6494567394256592,0,10,36,0,0,10,-0.008845439266965346,0.0010025012160229457,1.599955341330281
18,-0.3375,0,0.6671037673950195,0,0,27,0,0,0,-0.02299576820978136,0.0013003421544743301,1.5959515163192044
19,-0.12,0,0.7263734340667725,0,3,17,0,0,2,-0.015566619199321225,0.0013902020874638848,1.599660927498782
20,1.2000000000000002,0,0.6567494869232178,0,9,15,0,1,7,-0.002196188188261455,0.003672707513284293,1.59637400287169
21,-0.37000000000000005,0,0.7291383743286133,0,6,31,0,0,6,-0.018361484640519374,0.0008098920169233468,1.5964143397631467
22,-0.185,0,0.6775672435760498,0,4,22,0,0,3,-0.025171600152841873,0.00140569888839927,1.5994737346967063
23,1.875,0,0.654512882232666,0,5,24,0,2,4,-0.018896037531602714,0.0011549036198858149,1.5991685589154563
24,-0.7000000000000002,0,0.7115294933319092,0,0,56,0,0,0,-0.03870424293671493,0.0015416944357684427,1.6011931874133922
25,-0.375,0,0.7006947994232178,0,3,35,0,0,2,-0.025982267628596338,0.0010963187985635172,1.6012607216835022
26,0.9625000000000001,0,0.6568584442138672,0,4,15,1,1,3,-0.016197246835670535,0.0009211818205464531,1.5988273642681263
27,-0.2375,0,0.7449920177459717,0,7,19,0,0,7,-0.012019705415392917,0.0005674532649957843,1.6017194975305487
