Episode,Avg Reward,Total Tasks,Episode Time,WalkToWrongShelf(-0),PickRequested(+0.1),PickUnrequired(-0.05),ReturnAfterDelivery(+0.5),DeliverToGoal(+4.0),DropWrong(-0.1),ActorLoss,CriticLoss,Entropy
1,1.1475000000000002,1,1.0793745517730713,0,4,26,0,1,2,0.0008033471682143429,0.003032805372891687,1.5990510715378656
2,-0.4000000000000001,0,1.055985689163208,0,2,32,0,0,2,-0.01615798849336527,0.004533380865727661,1.597374285812731
3,0.8700000000000001,1,0.9197731018066406,0,16,24,1,1,15,-0.022106765579708195,0.004324252740043521,1.6006274035683385
4,-0.15500000000000003,0,0.9665751457214355,0,3,24,0,0,2,-0.015944522003539734,0.004025349186014025,1.5981290097589846
5,-0.2125,0,0.8890206813812256,0,0,17,0,0,0,-0.015365085935358097,0.00397311011925307,1.5984006226062775
6,-0.3875,0,0.8998305797576904,0,0,31,0,0,0,-0.017234299375020242,0.0016261299309230782,1.594674711977994
7,-0.7100000000000002,0,0.9102566242218018,0,2,58,0,0,2,-0.016642832352469362,0.002684351084702371,1.5986341072453394
8,0.030000000000000193,0,0.8773214817047119,0,4,23,0,0,3,-0.01173989142774156,0.0014251454965567628,1.600407143433889
9,-0.26000000000000006,0,0.9254276752471924,0,7,22,0,0,7,-0.01647945928076903,0.0012001855751552748,1.5982338697822005
10,-0.3375,0,1.011986255645752,0,0,27,0,0,0,-0.008054097985020943,0.001124765890498875,1.596934582348223
11,-0.4000000000000001,0,1.076350450515747,0,0,32,0,0,0,-0.014611718313837493,0.0007247190363146254,1.5943978152893208
12,-0.225,0,0.9456403255462646,0,5,18,0,0,5,-0.015942823184930063,0.0007108183802751159,1.5980143624323386
13,-0.45000000000000007,0,1.0828781127929688,0,0,36,0,0,0,-0.014430960933505385,0.0008863564184369781,1.5966611206531525
14,0.24249999999999997,0,1.0152454376220703,0,3,37,0,0,2,-0.02339827916929843,0.0015277296133069302,1.5943393486517448
15,-0.19999999999999998,0,1.0726134777069092,0,3,16,0,0,3,-0.019564462937759583,0.00122885317335287,1.594656976284804
16,-0.39999999999999997,0,0.9545047283172607,0,1,32,0,0,1,-0.022465612351273496,0.0010866257562393382,1.5982791350947487
17,-0.41250000000000003,0,0.9890308380126953,0,3,33,0,0,3,-0.025407488751052705,0.0010827803259979769,1.5983770743564323
18,-0.35,0,0.9162421226501465,0,8,28,0,0,8,-0.021266492652810283,0.0009157539209171455,1.602093188850968
19,-0.3375,0,0.9214291572570801,0,3,27,0,0,3,-0.01734467887285131,0.0005082594597858417,1.5976306862301297
20,-0.25,0,0.9831442832946777,0,0,20,0,0,0,-0.01234282823107033,0.00046691343009832003,1.5938820562980793
21,-0.1825,0,0.9021844863891602,0,4,15,0,0,4,-0.011912233696353657,0.0009587064530173258,1.597424546877543
22,-0.1625,0,1.0046634674072266,0,8,15,0,0,7,-0.011561830209016247,0.0008284126041044973,1.5985361558419688
23,-0.06249999999999997,0,1.0179338455200195,0,7,25,0,0,6,-0.00877185616021355,0.0007827446213486081,1.601628377481743
24,-0.3625,0,1.0823454856872559,0,0,29,0,0,0,-0.011863581637886386,0.0008217324205138202,1.5976538371156763
25,-0.2375,0,1.1887147426605225,0,0,19,0,0,0,-0.013937672160358891,0.0006838363332092764,1.5995181379494845
26,-0.2,0,1.119476079940796,0,1,16,0,0,1,-0.012411697112299778,0.0007403683237352438,1.5982610174903162
27,-0.33,0,1.0551254749298096,0,2,28,0,0,2,-0.017332731090761996,0.0005678358711958728,1.6003566207709135
28,0.9550000000000002,1,1.183396339416504,0,4,37,1,1,2,-0.021686963288596383,0.0009356854770623535,1.5987347993585799
29,-0.0699999999999999,0,1.0328757762908936,0,3,34,0,0,2,-0.008343107170528836,0.0009100661046456661,1.6016999262350577
30,1.3100000000000003,1,1.0603175163269043,0,4,23,0,1,2,-0.014209363437085239,0.0013949181586026724,1.6002690670666873
31,0.09750000000000003,0,1.1425704956054688,0,2,7,0,0,1,-0.010725336226945121,0.0005162322576295507,1.5994934814947623
32,0.9875000000000003,1,1.1344478130340576,0,1,31,0,1,0,-0.023882830601737456,0.000831695785818888,1.5985482566886478
33,0.040000000000000285,0,1.171708345413208,0,2,37,0,0,1,-0.010505584258310222,0.0012173500424776445,1.5992413759231567
34,-0.32499999999999996,0,1.0070607662200928,0,0,26,0,0,0,-0.012255963550328656,0.0005368541092598792,1.6015027463436127
35,-0.1875,0,1.028754472732544,0,2,18,0,0,2,-0.014108142211895297,0.00022375343024913814,1.600583725505405
36,-0.3475,0,0.9605307579040527,0,8,32,0,0,8,-0.009761485693700337,0.0006758109463501762,1.600714040023309
37,-0.265,0,0.9947555065155029,0,6,23,0,0,6,-0.019682622471548342,0.0009407916075581771,1.598185134154779
38,-0.1575,0,0.9479637145996094,0,8,34,0,0,7,-0.020220172945065076,0.0007867514090435132,1.6026911018071353
39,0.9400000000000002,1,1.0157134532928467,0,1,25,0,1,0,-0.0028291834880494406,0.0006221765576442774,1.6008025131843708
40,-0.38750000000000007,0,1.0001428127288818,0,1,31,0,0,1,-0.02900367485428298,0.0009664817121316381,1.6005627071415935
41,-0.27499999999999997,0,0.9954376220703125,0,2,22,0,0,2,-0.013202282858805524,0.0008133895306425854,1.5994023294360549
42,-0.4375,0,0.9302077293395996,0,6,35,0,0,6,-0.02379098374189602,0.0008104997383859754,1.6013353268305461
43,-0.475,0,0.9104573726654053,0,9,38,0,0,9,-0.024694574608777962,0.0009506666667171786,1.599695039016229
44,1.7324999999999997,1,1.0231132507324219,0,2,14,0,1,1,-0.002627775202401811,0.0008929088839388181,1.6019293158142656
45,0.8275000000000001,1,0.9881935119628906,0,4,17,0,1,3,-0.01218807567945785,0.00026227519709083656,1.602335372456798
46,1.205,1,0.9620928764343262,0,1,18,0,1,0,-0.007547002492679491,0.0006633833713153128,1.5998928723511872
47,-0.3,0,0.9928853511810303,0,10,24,0,0,10,-0.02691794185968185,0.0006998105022220394,1.6011988200523235
48,0.6625000000000001,1,0.933152437210083,0,2,39,1,1,1,-0.015526193064740961,0.0003951277120935233,1.600009831013503
49,-0.175,0,0.9353306293487549,0,13,14,0,0,13,-0.0215975657036459,0.0006974667734542805,1.6033720793547452
50,-0.4625,0,0.9959464073181152,0,0,37,0,0,0,-0.01846754980377025,0.0006555717176783414,1.6044271058506436
51,-0.26250000000000007,0,0.9589028358459473,0,4,21,0,0,4,-0.027480578541548714,0.0007740111780739345,1.6034713751739926
52,-0.175,0,0.9891312122344971,0,7,14,0,0,7,-0.017173947369748796,0.000540711815910463,1.6031745926097587
53,-0.3175,0,0.9434385299682617,0,2,30,0,0,1,-0.02257338911294937,0.0004926213619027234,1.6013814983544525
54,-0.2124999999999999,0,0.9760646820068359,0,4,30,0,0,3,-0.017174517192567386,0.0007150976470832902,1.6017860737111833
55,-0.5375000000000001,0,0.9907810688018799,0,6,43,0,0,6,-0.0317272208372338,0.000955188701511205,1.605188148993033
56,-0.2750000000000001,0,0.9663057327270508,0,8,22,0,0,8,-0.016938287669930746,0.0003604047525409384,1.6024171621711165
57,0.10750000000000016,0,0.9296481609344482,0,8,21,0,0,7,0.0014893087748162168,0.0018335640341531417,1.6010383555182706
58,-0.4525,0,1.0009171962738037,0,7,38,0,0,7,-0.027624912525492682,0.0011991124447350617,1.6041146803785251
59,-0.38750000000000007,0,0.9350376129150391,0,5,31,0,0,5,-0.01286379665274311,0.00031619791902593976,1.6027539063383032
60,-0.35,0,0.9220571517944336,0,2,28,0,0,2,-0.016512038005102012,0.00042554658095066914,1.5997424556149378
61,-0.2375,0,0.9702877998352051,0,0,19,0,0,0,-0.019253628026625072,0.0003700246412273034,1.6004020339912837
62,-0.0775,0,0.9163496494293213,0,3,16,0,0,2,-0.013557709813876837,0.0007819093157814075,1.6026297167495445
63,-0.25,0,0.9908113479614258,0,2,20,0,0,2,-0.013204865588772076,0.0002699451279298291,1.6017144653532238
64,-0.4125000000000001,0,0.9122879505157471,0,3,33,0,0,3,-0.027535746641526068,0.0008817244398297543,1.603384145983943
65,-0.375,0,0.9875493049621582,0,0,30,0,0,0,-0.017778315322680607,0.0005288489739612074,1.600508141296881
66,0.22250000000000025,0,0.928013801574707,0,4,38,0,0,4,-0.016216871518365764,0.001084224803727241,1.6048804046931089
67,1.7475,1,1.0030860900878906,0,3,7,0,1,1,-0.01600205145465831,0.0008897277016530923,1.603610948280052
68,-0.4525,0,0.9926905632019043,0,5,41,0,0,4,-0.019402335682469938,0.0012687831205021717,1.6032513391088556
69,-0.48750000000000004,0,1.0416383743286133,0,8,41,0,0,7,-0.016973748423711018,0.0003845444271523043,1.6035400971218392
70,1.1075000000000002,1,0.947134256362915,0,1,15,0,1,0,-0.014529267489841138,0.0004807853582352995,1.603721668322881
71,-0.3125,0,1.0666563510894775,0,3,25,0,0,3,-0.02285613204111104,0.0004996272586892145,1.6037153049751565
72,-0.5125000000000001,0,0.9203529357910156,0,1,41,0,0,1,-0.01872657959487427,0.0004594846659313345,1.6010762773178242
73,0.97,1,0.9978582859039307,0,1,15,0,1,0,-0.022079042641928903,0.0010421710918616202,1.601765161311185
74,-0.24999999999999997,0,0.9107038974761963,0,0,20,0,0,0,-0.01725083551611061,0.00032803249282994837,1.6024156588095206
75,-0.34,0,0.9874899387359619,0,2,30,0,0,1,-0.0192663608101645,0.0004055678079350376,1.6024432204387806
76,-0.3125,0,0.9117166996002197,0,5,25,0,0,5,-0.020163919957768586,0.0013950044108375205,1.6027224637843944
77,0.015000000000000006,0,0.9127190113067627,0,1,14,0,0,0,-0.015912244605176425,0.00042363125466941777,1.6041893374036857
78,-0.41500000000000004,0,1.0091428756713867,0,5,34,0,0,5,-0.009310445273984913,0.0006562369997657694,1.6045233949466988
79,-0.3125,0,0.9417157173156738,0,3,25,0,0,3,-0.010260477963903988,0.000958156442401048,1.6042276554637485
80,-0.27499999999999997,0,0.9978816509246826,0,0,22,0,0,0,-0.018248369744806377,0.00045727152516833664,1.6033820046318903
81,1.9799999999999995,1,0.9331235885620117,0,2,6,1,1,0,0.28645211768647033,0.7409537312388625,1.6003688286851954
82,-0.21250000000000002,0,0.9972023963928223,0,6,26,0,0,5,-0.01745576533075008,0.0005071706672418309,1.5993710800453467
83,0.5875000000000004,1,0.9430124759674072,0,4,45,1,1,3,-0.022276652951000463,0.000411404098887279,1.6022365468519706
84,-0.5750000000000001,0,0.9438087940216064,0,1,46,0,0,1,-0.027053292193967435,0.0005910524682103936,1.6028735979839608
85,-0.5,0,0.8981103897094727,0,0,40,0,0,0,-0.02021366531132824,0.0004649888605823436,1.6034237885916676
86,-0.4625,0,0.9888107776641846,0,7,39,0,0,6,-0.021769791927740527,0.0012790876538563022,1.6015168141435696
87,-0.2675,0,0.9303419589996338,0,2,28,0,0,2,-0.019005144118434854,0.00033723319214599425,1.6032311044357441
88,-0.27499999999999997,0,0.9696841239929199,0,1,22,0,0,1,-0.015607403142860642,0.0002743651502663685,1.6048148969809215
89,-0.2625,0,0.9276382923126221,0,0,21,0,0,0,-0.02325426024833211,0.0006449632441251363,1.60400468883691
90,0.1250000000000001,0,0.9328360557556152,0,6,23,0,0,6,-0.02628498758120393,0.0014740096396192671,1.5990457810737468
91,0.3250000000000002,0,0.9806365966796875,0,5,18,0,0,3,-0.0060646046918851355,0.0005907693003030985,1.6026912033557892
92,0.04250000000000026,0,0.9365947246551514,0,1,33,0,0,1,-0.005498785637664021,0.0007801380646956708,1.6046890903402258
93,-0.2625,0,0.972092866897583,0,1,21,0,0,1,-0.01800813360346688,0.000466330622701212,1.6014240682125092
94,-0.1375,0,0.9488248825073242,0,0,11,0,0,0,-0.013872621330881008,0.00022112005491121606,1.6027047104305692
95,-0.575,0,0.9512348175048828,0,11,46,0,0,11,-0.02594185172131768,0.0006419867732025635,1.6026832770418238
96,0.47750000000000015,0,0.9105868339538574,0,2,16,0,0,1,0.0039240807398325875,0.000800228675242012,1.60110839649483
