Episode,Avg Reward,Total Tasks,Episode Time,WalkToWrongShelf(-0),PickRequested(+0.1),PickUnrequired(-0.05),ReturnAfterDelivery(+0.5),DeliverToGoal(+1.0),DropWrong(-0.1),ActorLoss,CriticLoss,Entropy
1,0.0,0,0.6988346576690674,0,0,0,0,0,0,-0.01765715264439307,0.0011027335249096464,1.6026294275566382
2,0.0,0,0.7071218490600586,0,0,0,0,0,0,-0.017110230633988976,0.00226808306832414,1.6036350693967607
3,0.0,0,0.7569231986999512,0,0,0,0,0,0,-0.018654053625478235,0.001371880344911265,1.6035895943641665
4,0.0,0,0.6829686164855957,0,0,0,0,0,0,-0.018837179712675237,0.0005917241987263453,1.604093024024257
5,0.0,0,0.7880303859710693,0,0,0,0,0,0,-0.019360156341766317,0.0008933319284765233,1.6037939157750871
6,0.0,0,0.6999106407165527,0,0,0,0,0,0,-0.018002731052951682,0.0008421362150335831,1.6032274707599923
7,0.0,0,0.6952731609344482,0,0,0,0,0,0,-0.020958056569927268,0.0006883016641303168,1.6040781957131847
8,0.0,0,0.7332322597503662,0,0,0,0,0,0,-0.016430820605752093,0.0009335631076641837,1.6046560395646978
9,0.0,0,0.6261849403381348,0,0,0,0,0,0,-0.019001720843974636,0.0004873155764256937,1.604285958740446
10,0.0,0,0.661733865737915,0,0,0,0,0,0,-0.021210485965841346,0.0007453122846000306,1.6033618130065777
11,0.0,0,0.7333149909973145,0,0,0,0,0,0,-0.021033281460404396,0.0006179342789820381,1.6019689793939942
12,0.0,0,0.6618783473968506,0,0,0,0,0,0,-0.019533135704006308,0.0006098748815927597,1.6051193608178034
13,0.0,0,0.6603028774261475,0,0,0,0,0,0,-0.021517391126878834,0.0006970923003801965,1.6056685712602405
14,0.0,0,0.7463877201080322,0,0,0,0,0,0,-0.018501675929184315,0.0005123392527432497,1.6033150752385457
15,0.25,1,0.666677713394165,0,0,0,0,1,0,-0.01840644758367152,0.0005549341490865155,1.6045450115645372
16,0.0,0,0.7372207641601562,0,0,0,0,0,0,-0.018866922706365585,0.0012642943122243176,1.605262772904502
17,0.25,1,0.6708190441131592,0,0,0,0,1,0,-0.017206346314331447,0.0006170820456629952,1.6033260899561426
18,0.0,0,0.6597349643707275,0,0,0,0,0,0,-0.023272637588282425,0.0005366585581323906,1.6059027402489274
19,0.0,0,0.7061288356781006,0,0,0,0,0,0,-0.017267142327640345,0.0005185009711142609,1.6051543840655573
20,0.25,1,0.6766867637634277,0,0,0,0,1,0,-0.018580272164264763,0.0005908612036048893,1.6043222425160586
21,0.0,0,0.6657021045684814,0,0,0,0,0,0,-0.01962950569577515,0.00048115864452904746,1.6061914055435746
22,0.5,2,0.7313847541809082,0,0,0,0,2,0,0.05342222647568969,0.045165417413100956,1.6057071133896157
23,0.0,0,0.6683139801025391,0,0,0,0,0,0,-0.017309972516226547,0.0006786542799045077,1.6053052621859092
24,0.0,0,0.6403601169586182,0,0,0,0,0,0,-0.017138642026111484,0.0005927618039004723,1.606588465196115
25,0.0,0,0.6895976066589355,0,0,0,0,0,0,-0.0163905108175068,0.00043942068506684385,1.6055964264604778
26,0.0,0,0.6651942729949951,0,0,0,0,0,0,-0.014653594603900005,0.00043674150115922706,1.6044028401374817
27,0.0,0,0.7040927410125732,0,0,0,0,0,0,-0.020068952046265756,0.0004739438195548595,1.6063100419662617
28,0.0,0,0.6557464599609375,0,0,0,0,0,0,-0.01447247814697524,0.00036011707761613506,1.6064671531871513
29,0.0,0,0.7073886394500732,0,0,0,0,0,0,-0.021708688474501726,0.00043572981166434884,1.606630007425944
30,0.0,0,0.6384031772613525,0,0,0,0,0,0,-0.01607299145069663,0.0003864467063086239,1.6070047109215346
31,0.0,0,0.6711065769195557,0,0,0,0,0,0,-0.01632247690145892,0.00044521198560526986,1.6048707200421228
